order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,_sdc_deleted_at,_sdc_received_at,_sdc_extracted_at,_sdc_batched_at,_sdc_table_version,_sdc_sequence,_sdc_source_file,_sdc_source_lineno,_sdc_sync_started_at,order_id,product_id,unit_price,quantity,discount,_sdc_batched_at,_sdc_received_at,_sdc_deleted_at,_sdc_extracted_at,_sdc_table_version,_sdc_sequence,_sdc_source_file,_sdc_source_lineno,_sdc_sync_started_at
10995,PERIC,1,1998-04-02,1998-04-30,1998-04-06,3,46.0,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,,2025-01-31 16:54:09.880145,2025-01-31 16:46:07.191534,2025-01-31 16:54:09.781973,,1738342449880,public-orders-20250131T134606.singer.gz,749,1738342429848,10995,60,34,4,0,2025-01-31 16:54:08.568125,2025-01-31 16:54:08.639774,,2025-01-31 16:25:34.494806,,1738342448640,order_details-20250131T132534.singer.gz,1930,1738342429848
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,2025-01-31 16:54:09.817662,2025-01-31 16:46:07.169474,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,2,1738342429848,10248,11,14,12,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294389,,2025-01-31 16:25:34.464799,,1738342448294,order_details-20250131T132534.singer.gz,2,1738342429848
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,2025-01-31 16:54:09.817662,2025-01-31 16:46:07.169474,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,2,1738342429848,10248,42,9.8,10,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294444,,2025-01-31 16:25:34.464841,,1738342448294,order_details-20250131T132534.singer.gz,3,1738342429848
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,,2025-01-31 16:54:09.817662,2025-01-31 16:46:07.169474,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,2,1738342429848,10248,72,34.8,5,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294496,,2025-01-31 16:25:34.464865,,1738342448294,order_details-20250131T132534.singer.gz,4,1738342429848
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,,2025-01-31 16:54:09.817749,2025-01-31 16:46:07.170027,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,3,1738342429848,10249,14,18.6,9,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294547,,2025-01-31 16:25:34.464892,,1738342448295,order_details-20250131T132534.singer.gz,5,1738342429848
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,,2025-01-31 16:54:09.817749,2025-01-31 16:46:07.170027,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,3,1738342429848,10249,51,42.4,40,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294598,,2025-01-31 16:25:34.464915,,1738342448295,order_details-20250131T132534.singer.gz,6,1738342429848
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.817833,2025-01-31 16:46:07.170067,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,4,1738342429848,10250,41,7.7,10,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.29465,,2025-01-31 16:25:34.464935,,1738342448295,order_details-20250131T132534.singer.gz,7,1738342429848
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.817833,2025-01-31 16:46:07.170067,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,4,1738342429848,10250,51,42.4,35,0.15,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294701,,2025-01-31 16:25:34.464957,,1738342448295,order_details-20250131T132534.singer.gz,8,1738342429848
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.817833,2025-01-31 16:46:07.170067,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,4,1738342429848,10250,65,16.8,15,0.15,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294756,,2025-01-31 16:25:34.464986,,1738342448295,order_details-20250131T132534.singer.gz,9,1738342429848
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,2025-01-31 16:54:09.817918,2025-01-31 16:46:07.170097,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,5,1738342429848,10251,22,16.8,6,0.05,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294809,,2025-01-31 16:25:34.465009,,1738342448295,order_details-20250131T132534.singer.gz,10,1738342429848
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,2025-01-31 16:54:09.817918,2025-01-31 16:46:07.170097,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,5,1738342429848,10251,57,15.6,15,0.05,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294861,,2025-01-31 16:25:34.465026,,1738342448295,order_details-20250131T132534.singer.gz,11,1738342429848
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,,2025-01-31 16:54:09.817918,2025-01-31 16:46:07.170097,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,5,1738342429848,10251,65,16.8,20,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294912,,2025-01-31 16:25:34.465042,,1738342448295,order_details-20250131T132534.singer.gz,12,1738342429848
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,2025-01-31 16:54:09.818007,2025-01-31 16:46:07.170122,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,6,1738342429848,10252,20,64.8,40,0.05,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.294963,,2025-01-31 16:25:34.465058,,1738342448295,order_details-20250131T132534.singer.gz,13,1738342429848
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,2025-01-31 16:54:09.818007,2025-01-31 16:46:07.170122,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,6,1738342429848,10252,33,2,25,0.05,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295014,,2025-01-31 16:25:34.465073,,1738342448295,order_details-20250131T132534.singer.gz,14,1738342429848
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,,2025-01-31 16:54:09.818007,2025-01-31 16:46:07.170122,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,6,1738342429848,10252,60,27.2,40,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295065,,2025-01-31 16:25:34.465087,,1738342448295,order_details-20250131T132534.singer.gz,15,1738342429848
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.818095,2025-01-31 16:46:07.170148,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,7,1738342429848,10253,31,10,20,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295117,,2025-01-31 16:25:34.465102,,1738342448295,order_details-20250131T132534.singer.gz,16,1738342429848
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.818095,2025-01-31 16:46:07.170148,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,7,1738342429848,10253,39,14.4,42,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295169,,2025-01-31 16:25:34.465116,,1738342448295,order_details-20250131T132534.singer.gz,17,1738342429848
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,,2025-01-31 16:54:09.818095,2025-01-31 16:46:07.170148,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,7,1738342429848,10253,49,16,40,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.29522,,2025-01-31 16:25:34.465671,,1738342448295,order_details-20250131T132534.singer.gz,18,1738342429848
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,2025-01-31 16:54:09.818178,2025-01-31 16:46:07.170763,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,8,1738342429848,10254,24,3.6,15,0.15,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295272,,2025-01-31 16:25:34.465692,,1738342448295,order_details-20250131T132534.singer.gz,19,1738342429848
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,2025-01-31 16:54:09.818178,2025-01-31 16:46:07.170763,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,8,1738342429848,10254,55,19.2,21,0.15,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295324,,2025-01-31 16:25:34.465708,,1738342448295,order_details-20250131T132534.singer.gz,20,1738342429848
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,,2025-01-31 16:54:09.818178,2025-01-31 16:46:07.170763,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,8,1738342429848,10254,74,8,21,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295375,,2025-01-31 16:25:34.465725,,1738342448295,order_details-20250131T132534.singer.gz,21,1738342429848
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,,2025-01-31 16:54:09.818263,2025-01-31 16:46:07.170811,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,9,1738342429848,10255,2,15.2,20,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295425,,2025-01-31 16:25:34.46574,,1738342448295,order_details-20250131T132534.singer.gz,22,1738342429848
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,,2025-01-31 16:54:09.818263,2025-01-31 16:46:07.170811,2025-01-31 16:54:09.781973,,1738342449818,public-orders-20250131T134606.singer.gz,9,1738342429848,10255,16,13.9,35,0,2025-01-31 16:54:00.927549,2025-01-31 16:54:08.295477,,2025-01-31 16:25:34.465756,,1738342448295,order_details-20250131T132534.singer.gz,23,1738342429848
